id_status,id_customer,total_cost,currency,id_statusp1,id_payment_methodp1,amountp1,currency1,id_statusp2,id_payment_methodp2,amountp2,currency2,id_productpd1,sale_pricepd1,quantitypd1,id_productpd2,sale_pricepd2,quantitypd2
6f0b6dcf-bf11-4f07-a8b4-e5a98e91b2bc,005b60e5-83ac-4867-b399-32ee8c201a53,3405.81,PEN,a0e68d2e-740f-426f-9a0b-191f9e2d0f2a,fdbf5a2a-d3bb-41ea-b5ea-ea50b95eec39,719.49,PEN,a0e68d2e-740f-426f-9a0b-191f9e2d0f2a,fdbf5a2a-d3bb-41ea-b5ea-ea50b95eec39,1463.36,PEN,00c812c7-84b6-4132-a3df-ad080eb14cd3,1146.26,2,00c812c7-84b6-4132-a3df-ad080eb14cd3,1113.29,1
6f0b6dcf-bf11-4f07-a8b4-e5a98e91b2bc,10b68ba7-bbbc-41b4-856d-92bca50924a1,8536.59,PEN,a0e68d2e-740f-426f-9a0b-191f9e2d0f2a,91e9c37a-bb8b-4702-9a1e-4dd5bbf0dfec,915.30,PEN,eaeb3b9f-d1fd-4e61-91ad-0d30442ef1b5,7f7ffeb9-7e39-4215-b064-91f36267b25e,94.92,PEN,11ecd49b-2120-47f9-9dac-846a732b1790,1998.24,1,11ecd49b-2120-47f9-9dac-846a732b1790,2179.45,3
bb997dac-753c-4b2b-b55d-6f7b64232f66,11ecd49b-2120-47f9-9dbc-846a732b1749,3211.50,PEN,a0e68d2e-740f-426f-9a0b-191f9e2d0f2a,eb61b68f-383b-49cb-91d3-b1f66a4e5675,188.03,PEN,415960a7-3e2e-4a8d-8e26-5b19b235d1d7,fdbf5a2a-d3bb-41ea-b5ea-ea50b95eec39,942.98,PEN,17718afa-8217-4f37-b793-42f92e167121,1042.23,1,17718afa-8217-4f37-b793-42f92e167121,2169.27,1
6f0b6dcf-bf11-4f07-a8b4-e5a98e91b2bc,18fa78c9-04a6-4a8c-94d7-352f4a168bdf,4622.22,PEN,eaeb3b9f-d1fd-4e61-91ad-0d30442ef1b5,bc7a56b1-1b57-4a36-a03b-96f6c9f9aef7,681.38,PEN,b617b94a-1183-47e7-837f-5adf09b8e171,fdbf5a2a-d3bb-41ea-b5ea-ea50b95eec39,1415.4,PEN,1b979f68-a096-4e4f-a414-1b637a1113e4,1146.26,3,1b979f68-a096-4e4f-a414-1b637a1113e4,1183.44,1
fb8314d3-8c6c-42d3-9889-72062056d3f4,215d714e-f09a-49f8-81d9-aa5116067679,2917.62,PEN,415960a7-3e2e-4a8d-8e26-5b19b235d1d7,bc7a56b1-1b57-4a36-a03b-96f6c9f9aef7,325.26,PEN,eaeb3b9f-d1fd-4e61-91ad-0d30442ef1b5,eb61b68f-383b-49cb-91d3-b1f66a4e5675,574.01,PEN,51d85d08-2694-455f-8129-cf8c58fad98a,702.53,1,51d85d08-2694-455f-8129-cf8c58fad98a,2215.09,1
2a73571c-f199-43dc-9994-994e19540dc7,251e6899-a8cc-4aba-b0ba-dbee3fafdb11,3489.24,PEN,b617b94a-1183-47e7-837f-5adf09b8e171,91e9c37a-bb8b-4702-9a1e-4dd5bbf0dfec,327.62,PEN,a0e68d2e-740f-426f-9a0b-191f9e2d0f2a,7f7ffeb9-7e39-4215-b064-91f36267b25e,222.45,PEN,630baead-9d10-495f-9fea-3e4306c1d02d,1042.23,2,630baead-9d10-495f-9fea-3e4306c1d02d,1404.78,1
6f0b6dcf-bf11-4f07-a8b4-e5a98e91b2bc,2f9fc054-de70-477f-bf6a-f9465a481fbf,7845.41,PEN,b617b94a-1183-47e7-837f-5adf09b8e171,91e9c37a-bb8b-4702-9a1e-4dd5bbf0dfec,1378.76,PEN,b617b94a-1183-47e7-837f-5adf09b8e171,bc7a56b1-1b57-4a36-a03b-96f6c9f9aef7,277.60,PEN,948e937f-b1dd-41dc-a996-f3885120112d,1146.26,1,948e937f-b1dd-41dc-a996-f3885120112d,2233.05,3
2a73571c-f199-43dc-9994-994e19540dc7,510ebb02-fe43-4eec-95e3-ff12df351e9d,4864.98,PEN,415960a7-3e2e-4a8d-8e26-5b19b235d1d7,eb61b68f-383b-49cb-91d3-b1f66a4e5675,1054.56,PEN,b617b94a-1183-47e7-837f-5adf09b8e171,fdbf5a2a-d3bb-41ea-b5ea-ea50b95eec39,1109.46,PEN,959d154f-8388-4368-a8c0-8f6ab09e798b,216.88,3,959d154f-8388-4368-a8c0-8f6ab09e798b,1404.78,3
bb997dac-753c-4b2b-b55d-6f7b64232f66,64b5e561-8b18-4838-a172-761cf91fe4fc,8813.61,PEN,a0e68d2e-740f-426f-9a0b-191f9e2d0f2a,fdbf5a2a-d3bb-41ea-b5ea-ea50b95eec39,1036.60,PEN,415960a7-3e2e-4a8d-8e26-5b19b235d1d7,fdbf5a2a-d3bb-41ea-b5ea-ea50b95eec39,951.91,PEN,a699ff3a-9f8d-4f34-ab2e-ca61b48f8b64,1788.57,1,a699ff3a-9f8d-4f34-ab2e-ca61b48f8b64,2341.68,3
77ab09ae-9f0f-434c-9a4e-0f1e3a0882b6,6753756f-fc79-429b-b94f-383d09e09ac5,2608.21,PEN,415960a7-3e2e-4a8d-8e26-5b19b235d1d7,7f7ffeb9-7e39-4215-b064-91f36267b25e,853.96,PEN,a0e68d2e-740f-426f-9a0b-191f9e2d0f2a,bc7a56b1-1b57-4a36-a03b-96f6c9f9aef7,340.11,PEN,b99e27d4-5791-49b1-b089-6ccf3c18a9ed,421.43,1,b99e27d4-5791-49b1-b089-6ccf3c18a9ed,1093.39,2
